,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1521,Cat Zingano,167.64,Amanda Nunes,172.72,5.08,Cat Zingano,alto
1522,Jorge Masvidal,180.34,James Krause,187.96,7.62,Jorge Masvidal,alto
1523,Manvel Gamburyan,165.1,Cody Gibson,177.8,12.7,Manvel Gamburyan,alto
1524,Mark Hunt,177.8,Roy Nelson,182.88,5.08,Mark Hunt,alto
1525,Kiichi Kunimoto,177.8,Richard Walsh,182.88,5.08,Kiichi Kunimoto,alto
1526,Kyoji Horiguchi,165.1,Jon Delos Reyes,167.64,2.54,Kyoji Horiguchi,alto
1527,Maximo Blanco,172.72,Dan Hooker,182.88,10.16,Maximo Blanco,alto
1528,Jessica Andrade,154.94,Larissa Pacheco,170.18,15.24,Jessica Andrade,alto
1529,Rani Yahya,167.64,Johnny Bedford,177.8,10.16,Rani Yahya,alto
1530,Jacare Souza,185.42,Gegard Mousasi,187.96,2.54,Jacare Souza,alto
1531,Joe Lauzon,177.8,Michael Chiesa,185.42,7.62,Joe Lauzon,alto
1532,John Moraga,167.64,Justin Scoggins,170.18,2.54,John Moraga,alto
1533,Rafael Natal,182.88,Chris Camozzi,187.96,5.08,Rafael Natal,alto
1534,Bethe Correia,165.1,Shayna Baszler,170.18,5.08,Bethe Correia,alto
1535,Yancy Medeiros,177.8,Damon Jackson,180.34,2.54,Yancy Medeiros,alto
1536,Beneil Dariush,177.8,Anthony Rocco Martin,182.88,5.08,Beneil Dariush,alto
1537,Wilson Reis,162.56,Joby Sanchez,167.64,5.08,Wilson Reis,alto
